Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Yes""))",Chrome 117.0.0.0,,,2023-09-29 07:24:26,2023-09-29 07:24:57,31.536s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 07:24:57,2023-09-29 07:24:58,0.493s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 07:24:58,2023-09-29 07:24:59,0.900s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 07:25:01,2023-09-29 07:25:01,0.001s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase2/regist new cust but empty salesmanID,Chrome 117.0.0.0,,,2023-09-29 07:28:42,2023-09-29 07:29:42,59.512s,FAILED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:28:43,2023-09-29 07:28:43,0.001s,PASSED
randomNum = RandomStringUtils.randomNumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:28:43,2023-09-29 07:28:43,0.001s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 07:28:43,2023-09-29 07:28:44,1.961s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 07:28:44,2023-09-29 07:29:05,20.430s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 07:29:05,2023-09-29 07:29:06,0.754s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 07:29:06,2023-09-29 07:29:06,0.483s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-29 07:29:06,2023-09-29 07:29:07,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 07:29:07,2023-09-29 07:29:19,12.047s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 07:29:19,2023-09-29 07:29:19,0.710s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 07:29:19,2023-09-29 07:29:22,2.938s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Biodata_createcustomer-custo_d931ad""), ""customerid"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:29:22,2023-09-29 07:29:24,1.785s,PASSED
