Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 08:27:48,2023-09-29 08:27:48,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-29 08:27:48,2023-09-29 08:27:49,0.476s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 08:27:49,2023-09-29 08:28:19,30.498s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 08:28:19,2023-09-29 08:28:20,0.710s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/button_Download  expand_more""))",Chrome 117.0.0.0,,,2023-09-29 08:28:20,2023-09-29 08:28:41,21.047s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/button_Search""))",Chrome 117.0.0.0,,,2023-09-29 08:28:41,2023-09-29 08:28:41,0.343s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/div_Customer ID""))",Chrome 117.0.0.0,,,2023-09-29 08:28:41,2023-09-29 08:28:42,0.336s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/div_Customer List""))",Chrome 117.0.0.0,,,2023-09-29 08:28:42,2023-09-29 08:28:42,0.340s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/div_Customer Name""))",Chrome 117.0.0.0,,,2023-09-29 08:28:42,2023-09-29 08:28:42,0.327s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 08:28:42,2023-09-29 08:28:43,0.328s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/div_Customer Register Import""))",Chrome 117.0.0.0,,,2023-09-29 08:28:43,2023-09-29 08:28:43,0.327s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/div_Items per page 50 1  50 of 199""))",Chrome 117.0.0.0,,,2023-09-29 08:28:43,2023-09-29 08:28:43,0.347s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/kolom""))",Chrome 117.0.0.0,,,2023-09-29 08:28:43,2023-09-29 08:28:44,0.336s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/kolom2""))",Chrome 117.0.0.0,,,2023-09-29 08:28:44,2023-09-29 08:28:44,0.325s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/th_Actions""))",Chrome 117.0.0.0,,,2023-09-29 08:28:44,2023-09-29 08:28:44,0.326s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/th_Customer Email""))",Chrome 117.0.0.0,,,2023-09-29 08:28:44,2023-09-29 08:28:45,0.339s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/th_Customer ID""))",Chrome 117.0.0.0,,,2023-09-29 08:28:45,2023-09-29 08:28:45,0.343s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/th_Customer Name""))",Chrome 117.0.0.0,,,2023-09-29 08:28:45,2023-09-29 08:28:45,0.330s,PASSED
"verifyElementVisible(findTestObject(""cust management/Page_Prieds Technology/th_PIC""))",Chrome 117.0.0.0,,,2023-09-29 08:28:45,2023-09-29 08:28:46,0.360s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 08:28:48,2023-09-29 08:28:48,0.001s,PASSED
