Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:37:35,2023-09-29 05:37:48,13.436s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), """")",Chrome 117.0.0.0,,,2023-09-29 05:37:48,2023-09-29 05:37:49,0.927s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""))",Chrome 117.0.0.0,,,2023-09-29 05:37:49,2023-09-29 05:37:50,0.382s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:37:50,2023-09-29 05:37:50,0.670s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:37:50,2023-09-29 05:37:51,0.417s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:37:51,2023-09-29 05:37:51,0.377s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:37:51,2023-09-29 05:37:58,6.759s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:37:58,2023-09-29 05:37:58,0.737s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:37:58,2023-09-29 05:38:01,2.155s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Email_createcustomer-customerregister_6409b8""), ""kota"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 05:38:01,2023-09-29 05:38:02,1.754s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:38:02,2023-09-29 05:38:03,0.398s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:38:03,2023-09-29 05:38:03,0.468s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:38:03,2023-09-29 05:38:04,0.359s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:38:04,2023-09-29 05:38:04,0.731s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:38:06,2023-09-29 05:38:06,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except contact,Chrome 117.0.0.0,,,2023-09-29 05:38:06,2023-09-29 05:38:40,33.350s,PASSED
randomText = RandomStringUtils.randomNumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:38:07,2023-09-29 05:38:07,0.003s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:38:07,2023-09-29 05:38:08,1.228s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:38:08,2023-09-29 05:38:21,13.504s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:38:21,2023-09-29 05:38:24,2.284s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:38:24,2023-09-29 05:38:24,0.439s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:38:24,2023-09-29 05:38:25,0.381s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:38:25,2023-09-29 05:38:32,7.086s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:38:32,2023-09-29 05:38:32,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:38:32,2023-09-29 05:38:34,1.841s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Address 2_createcustomer-customerregi_b33ca3""), ""0811223"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 05:38:34,2023-09-29 05:38:36,1.702s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:38:36,2023-09-29 05:38:36,0.373s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:38:36,2023-09-29 05:38:37,0.445s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:38:37,2023-09-29 05:38:37,0.336s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:38:37,2023-09-29 05:38:38,0.649s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:38:40,2023-09-29 05:38:40,0.001s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except email,Chrome 117.0.0.0,,,2023-09-29 05:38:40,2023-09-29 05:39:24,44.043s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:38:40,2023-09-29 05:38:40,0.001s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:38:40,2023-09-29 05:38:41,1.144s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:38:41,2023-09-29 05:39:04,23.161s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:39:04,2023-09-29 05:39:05,0.725s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:39:05,2023-09-29 05:39:06,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:39:06,2023-09-29 05:39:06,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:39:06,2023-09-29 05:39:15,9.546s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:39:15,2023-09-29 05:39:16,0.713s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:39:16,2023-09-29 05:39:19,2.687s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_PIC_createcustomer-customerregister-c_7d29d8""), ""umkm_"" + randomText + ""@mailinator.com"")",Chrome 117.0.0.0,,,2023-09-29 05:39:19,2023-09-29 05:39:21,1.734s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:39:21,2023-09-29 05:39:21,0.377s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:39:21,2023-09-29 05:39:21,0.441s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:39:21,2023-09-29 05:39:22,0.322s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:39:24,2023-09-29 05:39:24,0.001s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except expedition,Chrome 117.0.0.0,,,2023-09-29 05:39:24,2023-09-29 05:40:08,44.152s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:39:24,2023-09-29 05:39:24,0.002s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:39:24,2023-09-29 05:39:26,1.828s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:39:26,2023-09-29 05:39:48,22.305s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:39:48,2023-09-29 05:39:49,0.891s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:39:49,2023-09-29 05:39:50,0.429s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:39:50,2023-09-29 05:39:50,0.374s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:39:50,2023-09-29 05:39:59,9.171s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:39:59,2023-09-29 05:40:00,0.909s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:40:00,2023-09-29 05:40:02,2.012s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""))",Chrome 117.0.0.0,,,2023-09-29 05:40:02,2023-09-29 05:40:03,1.345s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_SiCepat""))",Chrome 117.0.0.0,,,2023-09-29 05:40:03,2023-09-29 05:40:04,0.486s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:40:04,2023-09-29 05:40:04,0.484s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:40:04,2023-09-29 05:40:05,0.538s,PASSED
